Vin_V;Fsw_kHz;Vout_mean_V;Vout_max_steady_V;Vout_min_steady_V;Ripple_percent;Overshoot_percent;Static_error_V;Static_error_percent
250.0;151.5;28.512998580932617;28.94559669494629;28.267242431640625;2.37910532951355;36.18000411987305;0.5129985809326172;1.8321378231048584
250.0;172.0;26.435880661010746;26.69057273864746;26.18280792236328;1.920741081237793;50.21680068969727;1.5641193389892578;5.5861406326293945
250.0;186.0;25.336706161499023;25.54930305480957;25.04716110229492;1.9818755388259888;60.31554412841797;2.663293838500977;9.511763572692873
250.0;209.0;23.65269660949707;23.846874237060547;23.381500244140625;1.967530369758606;36.39195251464844;4.34730339050293;15.526082992553713
245.0;146.0;28.642724990844727;29.13217544555664;28.417125701904297;2.496444702148437;26.960739135742188;0.6427249908447266;2.2954463958740234
245.0;153.0;27.75282287597656;28.16431427001953;27.515668869018555;2.337223052978516;35.1258430480957;0.2471771240234375;0.8827754259109497
245.0;151.5;27.93279266357422;28.366682052612305;27.68290138244629;2.4479496479034424;25.78671264648437;0.0672073364257812;0.2400262057781219
245.0;172.0;25.89277458190918;26.141468048095703;25.64169311523437;1.930171489715576;47.18452072143555;2.1072254180908203;7.525805473327637
245.0;186.0;24.80965805053711;25.01052665710449;24.54541015625;1.874739646911621;56.29302215576172;3.19034194946289;11.394078254699709
245.0;209.0;23.183198928833008;23.42477798461914;22.87204933166504;2.3841776847839355;33.73941802978516;4.816801071166992;17.202861785888672
265.0;146.0;31.05814743041992;31.60015106201172;30.780332565307617;2.63962459564209;41.12919235229492;3.058147430419922;10.921955108642578
265.0;153.0;30.083045959472656;30.523584365844727;29.838441848754883;2.277503728866577;37.47315979003906;2.083045959472656;7.439450263977051
265.0;151.5;30.28168487548828;30.743518829345703;30.02420234680176;2.375417470932007;44.8372688293457;2.281684875488281;8.148874282836914
265.0;172.0;28.08136940002441;28.34196853637696;27.819509506225582;1.860518336296081;59.52792739868164;0.081369400024414;0.2906050086021423
265.0;186.0;26.910823822021484;27.137699127197266;26.62510871887207;1.904774069786072;69.54644012451172;1.0891761779785156;3.889914989471436
265.0;209.0;25.12624931335449;25.32302665710449;24.84242248535156;1.912757396697998;44.85874176025391;2.873750686645508;10.263395309448242
275.0;146.0;32.2607536315918;32.79230880737305;32.01750183105469;2.4017014503479004;46.33820343017578;4.260753631591797;15.216978073120115
275.0;153.0;31.257417678833008;31.72152328491211;30.992656707763672;2.331819534301758;52.089298248291016;3.257417678833008;11.633634567260742
275.0;172.0;29.17783546447754;29.463991165161133;28.90107727050781;1.9292516708374023;66.0281982421875;1.177835464477539;4.206555366516113
275.0;186.0;27.963394165039062;28.19249725341797;27.66295051574707;1.8937140703201287;76.16377258300781;0.0366058349609375;0.1307351291179657
275.0;209.0;26.109718322753903;26.373931884765625;25.762601852416992;2.341388940811157;50.74892044067383;1.8902816772460933;6.751006126403809
295.0;146.0;34.675540924072266;35.25075149536133;34.40657043457031;2.4345145225524902;57.49393081665039;6.675540924072266;23.841217041015625
295.0;172.0;31.358842849731445;31.64564323425293;31.07186508178711;1.8297172784805296;77.9995346069336;3.3588428497314453;11.995867729187012
295.0;186.0;30.062992095947266;30.29149627685547;29.754301071166992;1.7868986129760742;89.62149047851562;2.0629920959472656;7.367829322814941
295.0;209.0;28.07159805297852;28.32176971435547;27.730443954467773;2.1064913272857666;61.9117431640625;0.0715980529785156;0.255707323551178
247.0;151.0;28.23340034484864;28.676389694213867;27.98904228210449;2.434518814086914;26.38748550415039;0.2334003448486328;0.8335726261138916
247.0;171.0;26.191049575805664;26.462549209594727;25.9316635131836;2.0269737243652344;47.47791290283203;1.808950424194336;6.460536956787109
247.0;182.0;25.33822250366211;25.52784538269043;25.08514976501465;1.7471455335617063;56.684303283691406;2.66177749633789;9.506348609924316
247.0;186.0;25.01881599426269;25.213775634765625;24.752593994140625;1.843339204788208;57.9472541809082;2.9811840057373047;10.647086143493652
247.0;213.0;23.085887908935547;23.281110763549805;22.812965393066406;2.0278422832489014;26.685688018798828;4.914112091064453;17.550399780273438
257.0;151.0;29.4231014251709;29.864521026611328;29.17103385925293;2.356947898864746;38.44218826293945;1.4231014251708984;5.082505226135254
257.0;171.0;27.29427146911621;27.5770320892334;27.013690948486328;2.0639536380767822;53.11701965332031;0.7057285308837891;2.520458936691284
257.0;182.0;26.393535614013672;26.59140586853028;26.13102531433105;1.7442928552627563;63.38125991821289;1.606464385986328;5.737372875213623
257.0;186.0;26.06755447387696;26.25690269470215;25.806331634521484;1.728474497795105;64.74732971191406;1.9324455261230469;6.901591300964356
